Session,dependent variable,independent variable,coefficient,z-value,p-value,95% CI (lower),95% CI (upper)
visual,area,hemisphere,-111.558,-0.925,0.355,-348.029,124.913
,,mu_left,-163.121,-5.763,0.0,-218.598,-107.644
,,mu_right,-125.384,-4.788,0.0,-176.714,-74.054
visual,fwhm,hemisphere,7.814,1.314,0.189,-3.84,19.468
,,mu_left,9.11,6.532,0.0,6.376,11.843
,,mu_right,5.776,4.476,0.0,3.247,8.306
audio,area,hemisphere,-2.716,-0.163,0.87,-35.338,29.905
,,mu_left,-11.098,-2.743,0.006,-19.026,-3.169
,,mu_right,-9.161,-2.479,0.013,-16.403,-1.919
audio,fwhm,hemisphere,-6.198,-0.42,0.675,-35.147,22.751
,,mu_left,10.476,2.947,0.003,3.51,17.443
,,mu_right,14.539,4.486,0.0,8.187,20.89
